"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2018,"E08000016","Barnsley",245199,185547.266677739,64058.6365019196,0,20615.1001562458,60879.9430344468,32584.185225366,363685.131595717,1.48322436712922
2002,"E06000022","Bath and North East Somerset",169819,19163.389147417,37820.0004199555,NA,37739.1390012659,56633.4579301261,10304.0907497139,161660.077248478,0.951955183156645
2003,"E06000022","Bath and North East Somerset",170361,25927.0471736872,39424.3937455603,NA,52216.7376774563,53633.308298169,11006.3232335213,182207.810128394,1.06953944933637
2004,"E06000022","Bath and North East Somerset",170585,26291.6511487962,43334.6056342591,NA,60222.4888476324,51256.2829594474,11117.3773840573,192222.405974192,1.1268423716868
2005,"E06000022","Bath and North East Somerset",171274,27581.9772299702,47157.0370931793,NA,58431.1060087002,61622.7381945807,11730.5409482619,206523.399474692,1.20580706630716
2006,"E06000022","Bath and North East Somerset",171204,113015.890594494,49853.3885541293,NA,6955.99926851627,36037.0394138346,10925.3519239335,216787.669754907,1.26625353236436
2007,"E06000022","Bath and North East Somerset",172635,123187.226687745,51262.9975563913,NA,6508.025485002,38780.1343401713,11199.4518320681,230937.835901378,1.33772314942728
2008,"E06000022","Bath and North East Somerset",173565,119348.809418785,55794.6115822041,7179,6134.55929928109,44064.7821445323,11547.8782747295,244069.640719532,1.40621462114788
2009,"E06000022","Bath and North East Somerset",173360,123928.334147477,62833.0730329294,7493,9740.04317273316,42198.0072909329,11843.7614173273,258036.219061399,1.48844150358444
2010,"E06000022","Bath and North East Somerset",174267,127432.876192512,72127,10302,6825.42314492175,47000.0244294102,12205.2580582485,275892.581825092,1.58316021865925
2011,"E06000022","Bath and North East Somerset",175538,108059.851918994,65601.0488424494,669,12818.0714165469,41470.333114044,13253.0723674394,241871.377659473,1.37788614237073
2012,"E06000022","Bath and North East Somerset",177196,96706.583469988,65311.3676531465,676,990.844375981775,51109.4302000741,12356.0451016439,227150.270800834,1.2819153412088
2013,"E06000022","Bath and North East Somerset",179460,97413.2734643984,54538,208,33457.7428788659,22523.285900278,19509.5421519246,227649.844395467,1.2685269385683
2014,"E06000022","Bath and North East Somerset",181241,97361.5733381954,58586,163,28494.7690079161,24433.7653980987,20463.7446565688,229502.852400779,1.26628551156073
2015,"E06000022","Bath and North East Somerset",184287,100697.800774522,54889.9781601851,159,22177.8389499651,26039.7795972543,19603.9946069324,223568.392088859,1.21315335367583
2016,"E06000022","Bath and North East Somerset",186946,101761.416612899,48859.0660395441,100,15851.8611535388,25029.4502641125,19577.1038744175,211178.897944512,1.12962512139608
2017,"E06000022","Bath and North East Somerset",188678,98634.7064691986,41012.1848239242,94,1110.59018890305,40945.1629933188,19364.7563543298,201161.400829675,1.06616246106952
2018,"E06000022","Bath and North East Somerset",192106,89977.8166167529,35892.4294981661,0,945.460986013051,39346.2746963632,19526.6510649014,185688.632862197,0.966594655357962
2002,"E06000055","Bedford",149589,18002.0780377352,42140.3204742486,NA,46917.8983637888,49110.7569687846,8947.89016101819,165118.944005575,1.10381741976733
2003,"E06000055","Bedford",150684,24425.2631180497,43625.8296232428,NA,59177.6328985973,46979.9146795554,9703.96071219299,183912.601031638,1.22051844277852
2004,"E06000055","Bedford",151308,28346.0061813423,47623.4017537975,NA,65517.9599599013,45136.4804497041,9956.87432737311,196580.722672118,1.29920904824674
2005,"E06000055","Bedford",151747,38167.6324706245,51016.9715430193,NA,63567.2078336282,54338.5838489818,10441.5621873699,217531.957883624,1.43351735377717
2006,"E06000055","Bedford",152346,127438.975386601,45840.9687686737,NA,7474.12643406895,38719.06218216,9966.39816201546,229439.530933519,1.50604237021989
2007,"E06000055","Bedford",153107,115261.597131373,58212.9572199965,NA,6852.00288555848,40829.9606962166,10180.3147516077,231336.832684752,1.51094876579616
2008,"E06000055","Bedford",154164,123556.931599503,60428.7069980151,13432.4388529557,6266.20526661971,45012.265909673,10342.9613810367,259039.510007803,1.68028534552686
2009,"E06000055","Bedford",154808,131086.299244405,68066.8072049632,8394,11864.2458165858,51402.6045562168,10662.0502509216,281476.007073092,1.81822649393502
2010,"E06000055","Bedford",156535,131685.613518727,79722.9384532468,11527,8224.26495864129,56632.9828091058,10969.9351849722,298762.734924693,1.90860021672273
2011,"E06000055","Bedford",157840,117328.94462224,71909.0135953008,575,15387.4121693336,49781.851926271,11231.7371035042,266213.95941665,1.68660643320229
2012,"E06000055","Bedford",159369,116643.613315868,73297.8434754619,576,1165.17442486124,60100.7617886231,10421.8257817179,262205.218786532,1.64527115553547
2013,"E06000055","Bedford",161553,96556.5296515211,58510.7656578427,181,44195.2529577242,29025.9771600158,17849.340545239,246318.865972343,1.52469385262015
2014,"E06000055","Bedford",163999,100128.77056095,56527.9754290378,199,37888.8976773237,32158.9190038286,18420.7606126308,245324.323283771,1.49588914129824
2015,"E06000055","Bedford",166376,105478.355536208,58182,143,29876.1819190715,33151.3227607307,17511.6390190963,244342.499235106,1.46861626217186
2016,"E06000055","Bedford",168814,106281.24823912,54747,107,22636.3736845368,31903.3171337906,17431.1577890693,233106.096846517,1.38084576425247
2017,"E06000055","Bedford",169912,99983.6489918748,49070,98,15492.1128618718,33244.5113331327,17233.8218597653,215122.095046645,1.26607947082398
2018,"E06000055","Bedford",171623,106399.305474962,41831,96,10933.2986114639,34406.5186019619,17284.1446429158,210950.267331303,1.22914916608673
2002,"E09000004","Bexley",219123,53605.5821114972,62103.376149892,NA,110889.545404424,73265.6253487515,30177.05130241,330041.180316975,1.5061914099249
2003,"E09000004","Bexley",220016,117602.973163366,69992.6202161595,NA,123917.69148743,69265.2951467224,32204.2666305332,412982.84664421,1.87705824414684
2004,"E09000004","Bexley",220917,110656.30092873,88476.7392897361,NA,134594.713206991,66202.5594519107,33380.5140275511,433310.826904919,1.96141911625144
2005,"E09000004","Bexley",222391,115313.205398743,91329.4000137518,NA,133895.6778763,79076.8322485051,34819.3672940144,454434.482831315,2.04340320800444
2006,"E09000004","Bexley",223280,264082.486169397,101660.752998391,NA,14393.9127362107,74566.9227542093,29424.7676723273,484128.842330535,2.16825887822705
2007,"E09000004","Bexley",224625,283629.465782099,100449.027045523,NA,13102.4339913846,78075.2844490388,29976.7326147762,505232.943882821,2.24922846469815
2008,"E09000004","Bexley",226652,265480.100859544,105317.483627258,9213,11792.4215249788,84712.5409262559,30558.6574342234,507074.20437226,2.23723684049671
2009,"E09000004","Bexley",228146,305182.028698433,117446.119075456,9888.55398248985,18334.4383489827,79432.863172913,31126.5591359699,561410.562414244,2.46075128388946
2010,"E09000004","Bexley",230711,308372.848229764,118310.068463108,12454.1129467921,12571.9699958879,86576.3328043992,31903.0167597946,570188.349199745,2.47143980651007
2011,"E09000004","Bexley",232774,296641.725654152,119663.302286929,961.088793498421,23435.6240099985,75817.8456226026,31995.9284886769,548515.514855857,2.35642947604053
2012,"E09000004","Bexley",234308,222201.260139902,113691.80534956,891.897497638958,1793.18862035138,92509.0030070408,29655.2075681386,460742.362182631,1.96639620577458
2013,"E09000004","Bexley",236816,203178.649655514,98585.9473175868,97,54079.44717562,60088.5403721646,55137.9045559835,471167.489076869,1.98959314014623
2014,"E09000004","Bexley",240016,188797.567302285,101861.344984974,82,46037.250188128,62755.7706379302,56316.6418222924,455850.57493561,1.89925077884645
